Informações detalhadas sobre empréstimos de ativos que foram formalmente registrados.  Para todas as modalidades que a B3 publica no Boletim Diário a metodologia da taxa média de cada ativo divulgada no empréstimo é a média ponderada pela quantidade de negócios na data do pregão. Nos dias em que não houver negociação no ativo, a taxa divulgada será a última calculada disponível. Os detalhes sobre as regras utilizadas, bem como a definição de cada um dos campos, estão disponíveis no ;;;;;;;;;;;;;
Glossário;https://www.b3.com.br/data/files/32/02/C0/25/391EA810E9C1AAA8AC094EA8/Glossario%20_%20Emprestimos_Registrados.pdf;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;Taxa doador;;;Taxa tomador;;
Data;Código IF;Código ISIN;Empresa ou fundo;Mercado;Número de contratos;Quantidade de ativos;Valor em R$;Mínima;Média ponderada;Máxima;Mínima;Média ponderada;Máxima
30/06/2026;U1HS34;BRU1HSBDR006;UNIVERSAL HEALTH SERVICES INC;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;POMO3;BRPOMOACNOR0;MARCOPOLO S.A.;Registro;7;9411;51854,61;0,29%;0,29%;0,29%;0,29%;0,29%;0,29%
30/06/2026;R1CL34;BRR1CLBDR007;ROYAL CARIBBEAN GROUP;Registro;;0;0;20,00%;20,00%;20,00%;20,00%;20,00%;20,00%
30/06/2026;BEGU39;BRBEGUBDR004;ISHARES ESG AWARE MSCI USA ETF;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;P2NB34;BRP2NBBDR005;PENUMBRA INC;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;C2RS34;BRC2RSBDR005;CRISPR THERAPEUTICS AG;Registro;;0;0;25,00%;25,00%;25,00%;25,00%;25,00%;25,00%
30/06/2026;HYEM39;BRHYEMBDR001;VANECK EMERGING MARKETS HIGH YIELD BOND ETF;Registro;;0;0;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%
30/06/2026;CEEB5;BRCEEBACNPA6;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;LREN3;BRLRENACNOR1;LOJAS RENNER S.A.;Registro;183;1756712;26385814,24;0,10%;0,11%;0,15%;0,10%;0,11%;0,15%
30/06/2026;SMFT3;BRSMFTACNOR1;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Registro;46;412327;8036253,23;0,06%;0,07%;0,15%;0,06%;0,07%;0,15%
30/06/2026;AZIN11;BRAZINCTF019;AZ QUEST INFRA-YIELD II FIP IE;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;OXYP34;BROXYPBDR000;OCCIDENTAL PETROLEUM CORP;Registro;;0;0;0,10%;0,10%;0,10%;0,10%;0,10%;0,10%
30/06/2026;BRZP11;BRBRZPCTF005;BRZ INFRA PORTOS FDO. INV. EM PART.  -  RESP LIM;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
